Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Sample100,0,0.0336262997574414,0.0749978737465768,0.636037027494549,0,0.0297891624520633,0.454557355159378,0.321196021085221,0.0114783124658978,0.0435059495889198,0,0.129598339350867,0.066976309875152,0.101173277659323,0.142690130086495,0.546675742902526,0.00804146819244645,0,0.0523416411484954,0,0,0,0,0.802577974484524,0.69473770729152,2.65268491096535
Sample106,0.0100897009118987,0.00899198882628839,0.0240818182694485,0.0567723585712285,0,0.0434369422971541,0.0526262258910244,0.0533618413692585,0,0,0.0275090241608045,0,0.00149434854381816,0.410796670274663,0.0358288139455969,0.235294303124104,0,0,0.0560880346930283,0,0.0242140699536341,0,0,0.84790282538904,0.59941465559714,1.04058614083195
Sample107,0.0118126302262945,0.0135759134707369,0.00316099118740721,0.0250342603309422,0,0.0522301937893815,0.0699580786332157,0.0224054835307025,0.035299457316996,0,0.0690322836729554,0,0.0221473450182312,0.0104166930170228,0.00800819733228275,0.0964763065663911,0.0110520907606905,0.010907755179574,0.0377695133660561,0.0114616917043917,0,0.00547202212149565,0.17,0.120871017963605,1.03190629412267,0.516220907224768
Sample108,0.00531207547454871,0,0.00446914082991562,0.0474907019908529,0,0.0834544683309805,0.0796863850699636,0.0588564387539254,0.0311513774844881,0,0.0365354987062727,0,0.0201999113977565,0.00831138855275274,0.013312532079147,0.105242912519531,0.013061461085945,0.00940144990284066,0,0.0474114528885293,0.0129734590021779,0.00451010934389515,0,0.332226202751415,0.946138293884906,0.581380763413523
Sample10,0.0340431129153963,0,0.0271165034967423,0.0701236423402775,0,0.219222651433692,0.0585169468993222,0.0222027839783771,0,0,0.0407868421396519,0.00810275347773514,0.0480294224536404,0.0650450695580223,0.0293966769309417,0.288327581689015,0,0,0.046309081847462,0.0122852023538499,0,0,0,0.607077004000323,0.815229935200734,0.969508271514126
Sample112,0.0142422794971928,0.0189224705911987,0.0223358305617104,0.128081760744981,0,0.306570241342197,0,0.110681504252192,0,0,0.0707258948544242,0.0160258428684072,0.026259523661365,0.0154086129337306,0.0653343213518895,0.153236653420385,0.0178581285734546,0,0.0813698171733457,0,0,0,0,0.712285620734075,0.742201397361393,1.04705288182647
Sample116,0.0269434787787217,0,0.00134783963346409,0.00937528308384407,0.0156270642588025,0.0895742502804635,0.0791524803174614,0.0229244550054917,0,0,0.0659576360193723,0,0.0515643222719575,0.0854235675700575,0.0427412863763052,0.277020067013326,0.00458357596089916,0,0.123466754978302,0,0.00419765747201328,0,0,0.547348273300834,0.845425836273963,0.899899719020482
Sample117,0.00361908877421367,0.0089849762702234,0.00954308364959754,0.116097502895553,0,0.123574146337542,0.0556018264850518,0.0520736783945575,0.0260866720863574,0,0.00918222100699483,0.00442785906372016,0.00378070326150484,0.109394964410771,0.0160550777129748,0.77482430370922,0.00140883388644717,0,0.141649179758235,0,0,0.00411661780876071,0,0.666806416879145,0.763088354653564,1.46042073551172
Sample11,0.0133453382007151,0,0.0201237542117238,0.0663211270959767,0,0.0765254360638028,0.103113311854566,0.034968465811539,0,0,0.0491322495603405,0,0.0445310491245024,0.125371602592927,0.031772561053388,0.249806920366707,0.00584445377124199,0,0.0304359628356082,0,0.0154182045890897,0,0,0.48110331201438,0.877452517133942,0.866710437132128
Sample121,0.0516299334821634,0,0.0244732897097535,0.205713801080082,0,0.25250211499852,0.0409699962912088,0.0700740871980669,0,0,0.0577408373061449,0.0492998683517599,0.0300989223614333,0.0801877520316032,0.0659701710021959,0.303328934637054,0,0,0.0379083550618834,0,0.00142104722378048,0,0,0.578306727850334,0.824506599910045,1.27131911073565
Sample125,0.050345698224663,0.00395769059534617,0.142089972201927,0.823225023007781,0,0,0.23874808362267,0.369125488339895,0.0138140149755258,0.117372513164466,0.107758328303761,0,0,0.11650718201905,0.09962138362875,0.3668636487794,0,0,0.0136885841949049,0,0,0,0,0.827978659742152,0.651386992515782,2.46311761105814
