gene_name	entrez_id
Sample.Identifier	NA
A1BG_CN	1
A1CF_CN	29974
A2M_CN	2
A2ML1_CN	144568
A3GALT2_CN	127550
A4GALT_CN	53947
A4GNT_CN	51146
AAAS_CN	8086
AACS_CN	65985
AADAC_CN	13
AADACL2_CN	344752
AADACL3_CN	126767
AADACL4_CN	343066
AADAT_CN	51166
AAGAB_CN	79719
AAK1_CN	22848
AAMDC_CN	28971
AAMP_CN	14
AANAT_CN	15
AAR2_CN	25980
AARD_CN	441376
AARS2_CN	57505
AARSD1_CN	80755
AASDH_CN	132949
AASDHPPT_CN	60496
AASS_CN	10157
AATF_CN	26574
AATK_CN	9625
ABAT_CN	18
ABCA1_CN	19
ABCA10_CN	10349
ABCA12_CN	26154
ABCA13_CN	154664
ABCA2_CN	20
ABCA3_CN	21
ABCA4_CN	24
ABCA5_CN	23461
ABCA6_CN	23460
ABCA7_CN	10347
ABCA8_CN	10351
ABCA9_CN	10350
ABCB1_CN	5243
ABCB10_CN	23456
ABCB11_CN	8647
ABCB4_CN	5244
ABCB5_CN	340273
ABCB6_CN	10058
ABCB8_CN	11194
ABCB9_CN	23457
ABCC1_CN	4363
ABCC10_CN	89845
ABCC11_CN	85320
ABCC12_CN	94160
ABCC2_CN	1244
ABCC3_CN	8714
ABCC4_CN	10257
ABCC5_CN	10057
ABCC6_CN	368
ABCC8_CN	6833
ABCC9_CN	10060
ABCD2_CN	225
ABCD3_CN	5825
ABCD4_CN	5826
ABCE1_CN	6059
ABCF1_CN	23
ABCF2_CN	10061
ABCF3_CN	55324
ABCG1_CN	9619
ABCG2_CN	9429
ABCG4_CN	64137
ABCG5_CN	64240
ABCG8_CN	64241
ABHD1_CN	84696
ABHD10_CN	55347
ABHD11_CN	83451
ABHD12_CN	26090
ABHD12B_CN	145447
ABHD13_CN	84945
ABHD14A_CN	25864
ABHD14A.ACY1_CN	NA
ABHD14B_CN	84836
ABHD15_CN	116236
ABHD16A_CN	7920
ABHD16B_CN	140701
ABHD17A_CN	81926
ABHD17B_CN	51104
ABHD17C_CN	58489
ABHD2_CN	11057
ABHD3_CN	171586
ABHD4_CN	63874
ABHD5_CN	51099
ABHD6_CN	57406
ABHD8_CN	79575
ABI1_CN	10006
ABI2_CN	10152
ABI3_CN	51225
ABI3BP_CN	25890
ABL1_CN	25
ABL2_CN	27
ABLIM1_CN	3983
ABLIM2_CN	84448
ABLIM3_CN	22885
ABO_CN	28
ABR_CN	29
ABRA_CN	137735
ABRACL_CN	58527
ABT1_CN	29777
ABTB1_CN	80325
ABTB2_CN	25841
ACAA1_CN	30
ACAA2_CN	10449
ACACA_CN	31
ACACB_CN	32
ACAD10_CN	80724
ACAD11_CN	84129
ACAD8_CN	27034
ACAD9_CN	28976
ACADL_CN	33
ACADM_CN	34
ACADS_CN	35
ACADSB_CN	36
ACADVL_CN	37
ACAN_CN	176
ACAP1_CN	9744
ACAP2_CN	23527
ACAP3_CN	116983
ACAT1_CN	38
ACAT2_CN	39
ACBD3_CN	64746
ACBD4_CN	79777
ACBD5_CN	91452
ACBD6_CN	84320
ACBD7_CN	414149
ACCS_CN	84680
ACCSL_CN	390110
ACD_CN	65057
ACE_CN	1636
ACER1_CN	125981
ACER2_CN	340485
ACER3_CN	55331
ACHE_CN	43
ACIN1_CN	22985
ACKR2_CN	1238
ACKR3_CN	57007
ACKR4_CN	51554
ACLY_CN	47
ACMSD_CN	130013
ACO1_CN	48
ACO2_CN	50
ACOT1_CN	641371
ACOT11_CN	26027
ACOT12_CN	134526
ACOT13_CN	55856
ACOT2_CN	10965
ACOT4_CN	122970
ACOT6_CN	641372
ACOT7_CN	11332
ACOT8_CN	10005
ACOX1_CN	51
ACOX2_CN	8309
ACOX3_CN	8310
ACOXL_CN	55289
ACP1_CN	52
ACP2_CN	53
ACP5_CN	54
ACP6_CN	51205
ACR_CN	49
ACRBP_CN	84519
ACRV1_CN	56
ACSBG1_CN	23205
ACSBG2_CN	81616
ACSF2_CN	80221
ACSF3_CN	197322
ACSL1_CN	2180
ACSL3_CN	2181
ACSL5_CN	51703
ACSL6_CN	23305
ACSM1_CN	116285
ACSM2A_CN	123876
ACSM2B_CN	348158
ACSM3_CN	6296
ACSM4_CN	341392
ACSM5_CN	54988
ACSS1_CN	84532
ACSS2_CN	55902
ACSS3_CN	79611
ACTA1_CN	58
ACTA2_CN	59
ACTB_CN	60
ACTBL2_CN	345651
ACTC1_CN	70
ACTG1_CN	71
ACTG2_CN	72
ACTL10_CN	170487
ACTL6A_CN	86
ACTL6B_CN	51412
ACTL7A_CN	10881
ACTL7B_CN	10880
ACTL8_CN	81569
ACTL9_CN	284382
ACTN1_CN	87
ACTN2_CN	88
ACTN3_CN	89
ACTN4_CN	81
ACTR10_CN	55860
ACTR1A_CN	10121
ACTR1B_CN	10120
ACTR2_CN	10097
ACTR3_CN	10096
ACTR3B_CN	57180
ACTR3C_CN	653857
ACTR5_CN	79913
ACTR6_CN	64431
ACTR8_CN	93973
ACTRT2_CN	140625
ACTRT3_CN	84517
ACVR1_CN	90
ACVR1B_CN	91
ACVR1C_CN	130399
ACVR2A_CN	92
ACVR2B_CN	93
ACVRL1_CN	94
ACY1_CN	95
ACY3_CN	91703
ACYP1_CN	97
ACYP2_CN	98
ADA_CN	100
ADAD1_CN	132612
ADAD2_CN	161931
ADAL_CN	161823
ADAM10_CN	102
ADAM11_CN	4185
ADAM12_CN	8038
ADAM15_CN	8751
ADAM17_CN	6868
ADAM18_CN	8749
ADAM19_CN	8728
ADAM2_CN	2515
ADAM20_CN	8748
ADAM21_CN	8747
ADAM22_CN	53616
ADAM23_CN	8745
ADAM28_CN	10863
ADAM29_CN	11086
ADAM30_CN	11085
ADAM32_CN	203102
ADAM33_CN	80332
ADAM7_CN	8756
ADAM8_CN	101
ADAM9_CN	8754
ADAMDEC1_CN	27299
ADAMTS1_CN	9510
ADAMTS10_CN	81794
ADAMTS12_CN	81792
ADAMTS13_CN	11093
ADAMTS14_CN	140766
ADAMTS15_CN	170689
ADAMTS16_CN	170690
ADAMTS17_CN	170691
ADAMTS18_CN	170692
ADAMTS19_CN	171019
ADAMTS2_CN	9509
ADAMTS20_CN	80070
ADAMTS3_CN	9508
ADAMTS4_CN	9507
ADAMTS5_CN	11096
ADAMTS6_CN	11174
ADAMTS7_CN	11173
ADAMTS8_CN	11095
ADAMTS9_CN	56999
ADAMTSL1_CN	92949
ADAMTSL2_CN	9719
ADAMTSL3_CN	57188
ADAMTSL4_CN	54507
ADAMTSL5_CN	339366
ADAP1_CN	11033
ADAP2_CN	55803
ADAR_CN	103
ADARB1_CN	104
ADARB2_CN	105
ADAT1_CN	23536
ADAT2_CN	134637
ADAT3_CN	113179
ADCK1_CN	57143
ADCK2_CN	90956
ADCK5_CN	203054
ADCY1_CN	107
ADCY10_CN	55811
ADCY2_CN	108
ADCY3_CN	109
ADCY4_CN	196883
ADCY5_CN	111
ADCY6_CN	112
ADCY7_CN	113
ADCY8_CN	114
ADCY9_CN	115
ADCYAP1_CN	116
ADCYAP1R1_CN	117
ADD1_CN	118
ADD2_CN	119
ADD3_CN	120
ADGB_CN	79747
ADH1A_CN	124
ADH1B_CN	125
ADH1C_CN	126
ADH4_CN	127
ADH5_CN	128
ADH6_CN	130
ADH7_CN	131
ADHFE1_CN	137872
ADI1_CN	55256
ADIG_CN	149685
ADIPOQ_CN	9370
ADIPOR1_CN	51094
ADIPOR2_CN	79602
ADIRF_CN	10974
ADK_CN	132
ADM_CN	133
ADM2_CN	79924
ADM5_CN	199800
ADNP_CN	23394
ADNP2_CN	22850
ADO_CN	84890
ADORA1_CN	134
ADORA2A_CN	135
ADORA2B_CN	136
ADORA3_CN	140
ADPGK_CN	83440
ADPRH_CN	141
ADPRHL1_CN	113622
ADPRM_CN	56985
ADRA1A_CN	148
ADRA1B_CN	147
ADRA1D_CN	146
ADRA2A_CN	150
ADRA2B_CN	151
ADRA2C_CN	152
ADRB1_CN	153
ADRB2_CN	154
ADRB3_CN	155
ADRM1_CN	11047
ADSL_CN	158
ADTRP_CN	84830
AEBP1_CN	165
AEBP2_CN	121536
AEN_CN	64782
AFAP1_CN	60312
AFAP1L1_CN	134265
AFAP1L2_CN	84632
AFF1_CN	4299
AFF3_CN	3899
AFF4_CN	27125
AFG3L2_CN	10939
AFM_CN	173
AFMID_CN	125061
AFP_CN	174
AFTPH_CN	54812
AGA_CN	175
AGAP1_CN	116987
AGAP2_CN	116986
AGAP3_CN	116988
AGAP4_CN	119016
AGAP5_CN	729092
AGAP6_CN	414189
AGAP9_CN	642517
AGBL1_CN	123624
AGBL2_CN	79841
AGBL3_CN	340351
AGBL4_CN	84871
AGBL5_CN	60509
AGER_CN	177
AGFG1_CN	3267
AGFG2_CN	3268
AGGF1_CN	55109
AGK_CN	55750
AGL_CN	178
AGMAT_CN	79814
AGMO_CN	392636
AGO1_CN	26523
AGO2_CN	27161
AGO3_CN	192669
AGO4_CN	192670
