gene_name	entrez_id
Sample.Identifier	NA
LRP1B_SNP	53353
EIF3H_SNP	8667
CLEC18B_SNP	497190
BCLAF1_SNP	9774
MUC16_SNP	94025
RAB11FIP1_SNP	80223
ZNF276_SNP	92822
PMFBP1_SNP	83449
PPFIBP2_SNP	8495
VWF_SNP	7450
DPP6_SNP	1804
KIF2C_SNP	11004
CERKL_SNP	375298
MAOB_SNP	4129
DAD1_SNP	1603
IL15_SNP	3600
AXIN1_SNP	8312
UGT1A9_SNP	54600
LDHC_SNP	3948
COBLL1_SNP	22837
LCT_SNP	3938
CRISP3_SNP	10321
ASTN2_SNP	23245
ANO3_SNP	63982
PLXND1_SNP	23129
CPED1_SNP	79974
SLC7A3_SNP	84889
PTPRT_SNP	11122
NDUFB11_SNP	54539
CTDP1_SNP	9150
DNAH3_SNP	55567
RBM47_SNP	54502
ROS1_SNP	6098
RCN3_SNP	57333
MLXIPL_SNP	51085
HMGCLL1_SNP	54511
MUC15_SNP	143662
KCNA5_SNP	3741
ZNF777_SNP	27153
SFI1_SNP	9814
SORCS2_SNP	57537
CLEC6A_SNP	93978
TESK2_SNP	10420
CENPI_SNP	2491
GFRAL_SNP	389400
SPOPL_SNP	339745
ZNF215_SNP	7762
ZNF98_SNP	148198
GABRG1_SNP	2565
HEPH_SNP	9843
ZIC1_SNP	7545
RIN3_SNP	79890
PTEN_SNP	5728
ACTL10_SNP	170487
ZNF358_SNP	140467
PUS1_SNP	80324
PCYOX1L_SNP	78991
SF3A1_SNP	10291
TPTE_SNP	7179
BLK_SNP	640
OR4C11_SNP	219429
OR9A4_SNP	130075
SPSB1_SNP	80176
SCAMP3_SNP	10067
SF3B2_SNP	10992
OR10D3_SNP	26497
CD7_SNP	924
PCDH15_SNP	65217
CD163L1_SNP	283316
PARP12_SNP	64761
MAGEB17_SNP	645864
BRAF_SNP	673
FLNC_SNP	2318
ELFN1_SNP	392617
SMYD1_SNP	150572
COG6_SNP	57511
SLC9A6_SNP	10479
SCLT1_SNP	132320
FNBP4_SNP	23360
ING1_SNP	3621
ITLN1_SNP	55600
HCK_SNP	3055
EIF3E_SNP	3646
HSD17B4_SNP	3295
LONRF3_SNP	79836
HEG1_SNP	57493
SPANXN2_SNP	494119
WDR24_SNP	84219
ARF3_SNP	377
PRKCB_SNP	5579
PCYT1B_SNP	9468
CDC42BPG_SNP	55561
TCN1_SNP	6947
C10orf53_SNP	282966
SSX5_SNP	6758
RAVER2_SNP	55225
RELN_SNP	5649
ATRN_SNP	8455
WDR7_SNP	23335
GALNT14_SNP	79623
PPP1R3F_SNP	89801
TERF1_SNP	7013
CA5A_SNP	763
CAPZA3_SNP	93661
NF1_SNP	4763
FMN2_SNP	56776
BCAR1_SNP	9564
FARSA_SNP	2193
MID1_SNP	4281
MRGPRX2_SNP	117194
FLRT2_SNP	23768
NOS1_SNP	4842
MCAT_SNP	27349
CXorf65_SNP	158830
DNAH14_SNP	127602
KCNK1_SNP	3775
RNF111_SNP	54778
FOSL2_SNP	2355
AZU1_SNP	566
NHS_SNP	4810
FLNA_SNP	2316
P2RY11_SNP	5032
PSD4_SNP	23550
TMPRSS11E_SNP	28983
WNT3A_SNP	89780
MAML3_SNP	55534
EEF2K_SNP	29904
TFDP3_SNP	51270
BRD8_SNP	10902
GABARAPL1_SNP	23710
FAM47B_SNP	170062
FREM1_SNP	158326
GPR151_SNP	134391
OBSL1_SNP	23363
SLC8A3_SNP	6547
CNTN5_SNP	53942
REST_SNP	5978
NUP35_SNP	129401
CACNA1C_SNP	775
GAB3_SNP	139716
DZANK1_SNP	55184
INPP5J_SNP	27124
LIMS2_SNP	55679
RGMA_SNP	56963
F11_SNP	2160
EXD3_SNP	54932
POTEC_SNP	388468
ETV5_SNP	2119
PLCH1_SNP	23007
GATA6_SNP	2627
NANOGNB_SNP	360030
ASXL3_SNP	80816
OR2F1_SNP	26211
F8_SNP	2157
SYNE2_SNP	23224
TGFB3_SNP	7043
TPTE2_SNP	93492
TNKS_SNP	8658
SLC13A2_SNP	9058
NWD1_SNP	284434
LEF1_SNP	51176
GDF5_SNP	8200
FBXL7_SNP	23194
ABCC1_SNP	4363
SYCE1L_SNP	100130958
TMCO3_SNP	55002
KMT2D_SNP	8085
KIAA1671_SNP	85379
CLPTM1L_SNP	81037
DNAH5_SNP	1767
ANKH_SNP	56172
PHF20L1_SNP	51105
SLC6A12_SNP	6539
DMP1_SNP	1758
ALOX5_SNP	240
LILRA1_SNP	11024
CENPC_SNP	1060
ELFN2_SNP	114794
APC2_SNP	10297
TERT_SNP	7015
GNA15_SNP	2769
GCK_SNP	2645
GRAP2_SNP	9402
COL4A2_SNP	1284
DST_SNP	667
LIMD2_SNP	80774
SMS_SNP	6611
SCNN1G_SNP	6340
NCAPG_SNP	64151
TGM1_SNP	7051
RUNX1T1_SNP	862
EYS_SNP	346007
OPTN_SNP	10133
TRMT1_SNP	55621
CCDC9_SNP	26093
TM9SF3_SNP	56889
FASN_SNP	2194
PLCB1_SNP	23236
MCHR2_SNP	84539
FAM110D_SNP	79927
SEC24C_SNP	9632
TRPM6_SNP	140803
PAPPA_SNP	5069
S1PR1_SNP	1901
PCDHGB6_SNP	56100
ACTN2_SNP	88
DYNC2H1_SNP	79659
DNAJC21_SNP	134218
NOC3L_SNP	64318
AKR1B1_SNP	231
HK1_SNP	3098
CLEC11A_SNP	6320
DYNC1LI1_SNP	51143
SLC17A8_SNP	246213
ADAMTS16_SNP	170690
PLG_SNP	5340
GPR132_SNP	29933
LRRC24_SNP	441381
REPS1_SNP	85021
PIP5K1C_SNP	23396
BEST4_SNP	266675
CACNA1I_SNP	8911
CCDC38_SNP	120935
TPST2_SNP	8459
TMC8_SNP	147138
RALGAPB_SNP	57148
LTBP3_SNP	4054
CDH13_SNP	1012
FGFR3_SNP	2261
HDLBP_SNP	3069
NKX3.1_SNP	NA
SEMA5A_SNP	9037
PTAR1_SNP	375743
STK32B_SNP	55351
PTPRF_SNP	5792
SRCAP_SNP	10847
SLC8A1_SNP	6546
SMAP1_SNP	60682
KIAA2026_SNP	158358
LRCH1_SNP	23143
PAX5_SNP	5079
POGZ_SNP	23126
EHMT2_SNP	10919
ACE_SNP	1636
ABCA8_SNP	10351
TRIM15_SNP	89870
ACY1_SNP	95
AOC3_SNP	8639
FAT4_SNP	79633
TEX2_SNP	55852
CDKAL1_SNP	54901
RALGPS1_SNP	9649
GABRB1_SNP	2560
FRMPD4_SNP	9758
ATG16L2_SNP	89849
DNAH17_SNP	8632
SSBP3_SNP	23648
TNR_SNP	7143
TRIM60_SNP	166655
PRDM15_SNP	63977
SORCS3_SNP	22986
YIF1B_SNP	90522
PRDM1_SNP	639
TMED7.TICAM2_SNP	NA
SLC4A8_SNP	9498
ANKRD24_SNP	170961
PPBP_SNP	5473
PKN1_SNP	5585
MINPP1_SNP	9562
PZP_SNP	5858
CNTNAP2_SNP	26047
KCNQ4_SNP	9132
GLIS3_SNP	169792
DENND4A_SNP	10260
ZFPM2_SNP	23414
CYSLTR1_SNP	10800
LRSAM1_SNP	90678
VPS13B_SNP	157680
ELAC2_SNP	60528
BHMT_SNP	635
DSP_SNP	1832
MYH3_SNP	4621
COL4A4_SNP	1286
MAPK12_SNP	6300
ZNF610_SNP	162963
NCAPD2_SNP	9918
GABRG3_SNP	2567
ATM_SNP	472
CCL5_SNP	6352
TMTC3_SNP	160418
ARHGAP9_SNP	64333
MUL1_SNP	79594
KIRREL3_SNP	84623
UTP20_SNP	27340
PRDM4_SNP	11108
MYO1E_SNP	4643
MED13L_SNP	23389
SWAP70_SNP	23075
NUP155_SNP	9631
ONECUT2_SNP	9480
MTO1_SNP	25821
NELL2_SNP	4753
DCTN2_SNP	10540
ABI3_SNP	51225
LHX2_SNP	9355
LRRC8D_SNP	55144
CIT_SNP	11113
ACTL9_SNP	284382
RXFP1_SNP	59350
SPATA31D1_SNP	389763
RIMS1_SNP	22999
KNDC1_SNP	85442
SCN10A_SNP	6336
SRSF2_SNP	6427
CTSB_SNP	1508
OR6B1_SNP	135946
DDX60_SNP	55601
GRIN2A_SNP	2903
TMED6_SNP	146456
SNX13_SNP	23161
SKP2_SNP	6502
ARHGAP17_SNP	55114
OR56A4_SNP	120793
AGAP1_SNP	116987
KRAS_SNP	3845
LRRC4C_SNP	57689
LIMA1_SNP	51474
ACACB_SNP	32
ZNF878_SNP	729747
FBXW2_SNP	26190
SENP5_SNP	205564
IGDCC4_SNP	57722
MBD5_SNP	55777
VWDE_SNP	221806
ZFHX2_SNP	85446
LIPE_SNP	3991
FAM3D_SNP	131177
FOXH1_SNP	8928
POU2F1_SNP	5451
ZNF418_SNP	147686
FAM193B_SNP	54540
TPM3_SNP	7170
BAX_SNP	581
PKP3_SNP	11187
LAMA4_SNP	3910
FAM184A_SNP	79632
ADAP1_SNP	11033
GADD45G_SNP	10912
KANK1_SNP	23189
ZBTB7A_SNP	51341
CACNB1_SNP	782
PHLDA1_SNP	22822
PCDHAC1_SNP	56135
PWP1_SNP	11137
RNASE11_SNP	122651
VDAC1_SNP	7416
ADCY8_SNP	114
PTP4A1_SNP	7803
PREX2_SNP	80243
ASPM_SNP	259266
COL11A2_SNP	1302
ZNF655_SNP	79027
NLRP7_SNP	199713
CRTC1_SNP	23373
GMPPA_SNP	29926
SLC4A7_SNP	9497
PLCB2_SNP	5330
ENSA_SNP	2029
PLXNB1_SNP	5364
DNAH2_SNP	146754
PDGFRB_SNP	5159
PHF21B_SNP	112885
TSHZ2_SNP	128553
AHCY_SNP	191
IQCJ_SNP	654502
ZNF721_SNP	170960
COL5A2_SNP	1290
ATP8A1_SNP	10396
SKOR2_SNP	652991
CLVS1_SNP	157807
PTPRE_SNP	5791
PACSIN2_SNP	11252
SF3B1_SNP	23451
ERBB3_SNP	2065
SLC34A1_SNP	6569
SETD1B_SNP	23067
CYP26C1_SNP	340665
IFRD1_SNP	3475
GLP1R_SNP	2740
MLH3_SNP	27030
GRIN2B_SNP	2904
MSRA_SNP	4482
INO80E_SNP	283899
KIF14_SNP	9928
METTL22_SNP	79091
ARG1_SNP	383
PRSS55_SNP	203074
DNAH11_SNP	8701
PPARD_SNP	5467
PUSL1_SNP	126789
MAGEC3_SNP	139081
OR2J1_SNP	442185
PALM2AKAP2_SNP	445815
ZNF208_SNP	7757
OR4D10_SNP	390197
GSG1L_SNP	146395
ZNF99_SNP	7652
TAF1C_SNP	9013
HEATR5A_SNP	25938
KIF1B_SNP	23095
THBS3_SNP	7059
ATP13A3_SNP	79572
SLC12A2_SNP	6558
CCDC30_SNP	728621
RGS19_SNP	10287
POLE_SNP	5426
SLC25A41_SNP	284427
MARVELD3_SNP	91862
SMARCD1_SNP	6602
NBPF14_SNP	25832
LGALS8_SNP	3964
CATSPER4_SNP	378807
EDN1_SNP	1906
DROSHA_SNP	29102
PYGM_SNP	5837
ITGA7_SNP	3679
ANK2_SNP	287
PIEZO2_SNP	63895
MAU2_SNP	23383
ERVW.1_SNP	NA
GTSE1_SNP	51512
KIF21B_SNP	23046
ARID1B_SNP	57492
TBXA2R_SNP	6915
TNS4_SNP	84951
AGRP_SNP	181
PSG8_SNP	440533
LMTK3_SNP	114783
DCAF5_SNP	8816
OR52M1_SNP	119772
ANKRD12_SNP	23253
PPP4R1_SNP	9989
ARID1A_SNP	8289
TOX_SNP	9760
RANBP6_SNP	26953
OR10A6_SNP	390093
DNAH1_SNP	25981
EPHX3_SNP	79852
WDR64_SNP	128025
KLF8_SNP	11279
FBXW9_SNP	84261
ROBO1_SNP	6091
ADAMTS5_SNP	11096
RREB1_SNP	6239
ABCC11_SNP	85320
RAF1_SNP	5894
SLC1A3_SNP	6507
KY_SNP	339855
CTNNB1_SNP	1499
SSBP4_SNP	170463
PIK3CG_SNP	5294
COL20A1_SNP	57642
GPR174_SNP	84636
CAMSAP3_SNP	57662
ZCCHC8_SNP	55596
SLC10A3_SNP	8273
DCTN4_SNP	51164
OLAH_SNP	55301
CBX5_SNP	23468
ST6GALNAC2_SNP	10610
IVL_SNP	3713
ACSM2B_SNP	348158
GIGYF2_SNP	26058
CACNA1B_SNP	774
DNTTIP2_SNP	30836
GRHL3_SNP	57822
OR52N5_SNP	390075
FAM186A_SNP	121006
NDFIP1_SNP	80762
PCSK2_SNP	5126
SLC17A9_SNP	63910
FAM9A_SNP	171482
KMT2C_SNP	58508
MKNK2_SNP	2872
OC90_SNP	729330
PGBD1_SNP	84547
GUCY2F_SNP	2986
CTTNBP2NL_SNP	55917
TTC3_SNP	7267
LIN54_SNP	132660
BMP3_SNP	651
NSD1_SNP	64324
TTN_SNP	7273
TNRC6B_SNP	23112
RAVER1_SNP	125950
ABCC2_SNP	1244
ITGB8_SNP	3696
SNX24_SNP	28966
AKAP17A_SNP	8227
UBASH3A_SNP	53347
NRAS_SNP	4893
SLCO1A2_SNP	6579
PRUNE2_SNP	158471
SYCP2_SNP	10388
XK_SNP	7504
FLT1_SNP	2321
ODAM_SNP	54959
ABCA9_SNP	10350
SP2_SNP	6668
ZNF177_SNP	7730
ETNK1_SNP	55500
TRIM27_SNP	5987
TRIM24_SNP	8805
RYR1_SNP	6261
MRPS35_SNP	60488
ANKK1_SNP	255239
PTPN4_SNP	5775
NOX5_SNP	79400
PPP1R13L_SNP	10848
ZNF501_SNP	115560
PXDN_SNP	7837
PTPN6_SNP	5777
CACNA1A_SNP	773
FDFT1_SNP	2222
ALS2_SNP	57679
GC_SNP	2638
MYO3A_SNP	53904
YIPF1_SNP	54432
