Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Sample100,0.042930408908182,0,0.161676788352674,0.64573523505158,0,0.000707650034700613,0.323622605967821,0.32303708229781,0.0867341528413695,0.0419562126115298,0.019024989249267,0.14651739554037,0.0789153075517438,0.161401395498059,0.195937282010954,0.690840830443278,0.025285212826181,0,0.045319479002528,0,0,0,0,0.836665227680253,0.680849683127231,2.98964202818805
Sample106,0.0333042801461702,0,0.0329466295720487,0.0994451912463081,0,0.127806315919751,0.0461355944910504,0.0350488933362032,0,0,0.0354166299208076,0.00145657613635412,0.00873207327161142,0.374797001562427,0.0531908633132644,0.260131478223466,0,0,0.0260809034298926,0,0.00700412117300502,0.00337672866832985,0,0.851955340339374,0.617362859741741,1.14487328041069
Sample107,0.0140387542184992,0.0126723160560599,0.0278581426723625,0.000992783283214012,0,0.060606334034004,0.0764298370233686,0.0315817268943287,0.0277586209888086,0,0.0743819645044719,0,0.0140730757054395,0.0190324563200747,0.00808151686415527,0.112303506718037,0.0102861348465352,0.0143700425886137,0.0210300420415479,0.019434578692312,0.00368179717323784,0.00766045879217814,0.0600000000000001,0.148337393812369,1.01667866048051,0.556274089417248
Sample108,0.00136723097711246,0.00200673450351586,0.0122583035323474,0.037694637992066,0,0.100947759592997,0.0572959114809117,0.0688664789188023,0.0329703500974141,0,0.0282318640690202,0,0.0130541404013024,0.0243196965233869,0.0166150190426645,0.115610388806296,0.00933502259396283,0.0097633114080662,0,0.0661861916937157,0.0207132086765387,0.00775598238050264,0,0.39146276794223,0.91959631773851,0.624992232690622
Sample10,0.031333057896343,0,0.0228235908012915,0.0659341553600148,0,0.272463909716426,0.0260242255568388,0.0388638197821152,0,0,0.050696070713852,0.00271300601987009,0.0223026961546136,0.131233587877969,0.0236447305960589,0.304471449490619,0,0,0.0385499512098874,0,0,0.00276659256017717,0,0.720594870831323,0.742420384305376,1.03382084373608
Sample112,0.0235625701072062,0.00997632101951825,0.0252469231259456,0.108098831132754,0,0.363262370447885,0,0.116032412604674,0.0144108807200266,0,0.0837124522814744,0,0.0291299898490104,0.0270207971447486,0.0724153929260718,0.155613278119714,0.019162014534774,0,0.0805920847983474,0,0,0,0,0.785805059419872,0.694467509518092,1.12823631881215
Sample116,0.027648478101042,0,0.0075672967386374,0.0210401859048907,0,0.111435695961222,0.0413463032706541,0.0483915159497207,0,0,0.0695862007235786,0,0.0471027903433885,0.184754061114424,0.0340733319197518,0.27549225077965,0,0,0.0677684338124771,0,0.00235551824255266,0,0,0.695317171844784,0.754604023475481,0.938562062861989
Sample117,0.01594148425374,0.00799385366507492,0.0219219430773947,0.113743874151153,0,0.0955099069393038,0.0426843173347465,0.0459972500995625,0.0246867861523128,0,0.0258235941913109,0,0.00143379224162861,0.17442758530492,0.0152500228552969,0.85945730950573,0.0118904249528794,0,0.101501986101966,0,0.0116718821097295,0.0127777401625453,0,0.715185746750145,0.723954743910334,1.58271375309929
Sample11,0.0091485549424229,0.00169784051340636,0.0123890094816131,0.0631384304917361,0,0.0890560097048695,0.0821641452966209,0.0482285710750931,0.00448871633466816,0,0.0400204275276386,0,0.0407191170643322,0.160956440301197,0.0365228822020709,0.256919866562505,0.00641110382719836,0,0.0295355284012527,0,0.0120811082142456,0,0,0.625769338125588,0.798170733510375,0.89347775194087
Sample121,0.0367921432432795,0,0.0389942599406414,0.178253174561102,0,0.329809600425005,0.045458852941007,0.0700752202186826,0,0,0.0729629727937467,0.00768783494816611,0.027940937925396,0.10384336447283,0.0671073994603466,0.319513861713361,0,0,0.0350752272706241,0,0.00915408535161437,0.00174909273920301,0,0.729085681962203,0.738931767589708,1.344418028005
