entrez_id	gene_name
Sample Identifier	NA
51146	A4GNT
13	AADAC
344752	AADACL2
51166	AADAT
79719	AAGAB
25980	AAR2
441376	AARD
57505	AARS2
132949	AASDH
60496	AASDHPPT
10157	AASS
26574	AATF
18	ABAT
20	ABCA2
21	ABCA3
5243	ABCB1
5244	ABCB4
340273	ABCB5
11194	ABCB8
4363	ABCC1
85320	ABCC11
94160	ABCC12
10257	ABCC4
10057	ABCC5
368	ABCC6
6059	ABCE1
23	ABCF1
10061	ABCF2
55324	ABCF3
9429	ABCG2
64137	ABCG4
55347	ABHD10
26090	ABHD12
25864	ABHD14A
84836	ABHD14B
116236	ABHD15
7920	ABHD16A
51104	ABHD17B
58489	ABHD17C
11057	ABHD2
171586	ABHD3
51099	ABHD5
57406	ABHD6
25890	ABI3BP
25	ABL1
84448	ABLIM2
28	ABO
137735	ABRA
58527	ABRACL
29777	ABT1
80325	ABTB1
25841	ABTB2
30	ACAA1
10449	ACAA2
31	ACACA
84129	ACAD11
27034	ACAD8
28976	ACAD9
176	ACAN
23527	ACAP2
38	ACAT1
39	ACAT2
91452	ACBD5
414149	ACBD7
65057	ACD
340485	ACER2
43	ACHE
1238	ACKR2
51554	ACKR4
48	ACO1
55856	ACOT13
10005	ACOT8
8309	ACOX2
8310	ACOX3
56	ACRV1
23205	ACSBG1
197322	ACSF3
2180	ACSL1
23305	ACSL6
116285	ACSM1
123876	ACSM2A
348158	ACSM2B
6296	ACSM3
54988	ACSM5
84532	ACSS1
55902	ACSS2
345651	ACTBL2
170487	ACTL10
86	ACTL6A
51412	ACTL6B
89	ACTN3
57180	ACTR3B
653857	ACTR3C
79913	ACTR5
93973	ACTR8
84517	ACTRT3
93	ACVR2B
95	ACY1
100	ADA
132612	ADAD1
161931	ADAD2
102	ADAM10
8749	ADAM18
2515	ADAM2
53616	ADAM22
10863	ADAM28
11086	ADAM29
203102	ADAM32
80332	ADAM33
8756	ADAM7
8754	ADAM9
27299	ADAMDEC1
81792	ADAMTS12
11093	ADAMTS13
170689	ADAMTS15
170690	ADAMTS16
170691	ADAMTS17
170692	ADAMTS18
171019	ADAMTS19
9508	ADAMTS3
11174	ADAMTS6
11173	ADAMTS7
11095	ADAMTS8
56999	ADAMTS9
92949	ADAMTSL1
9719	ADAMTSL2
57188	ADAMTSL3
55803	ADAP2
105	ADARB2
23536	ADAT1
134637	ADAT2
90956	ADCK2
203054	ADCK5
108	ADCY2
111	ADCY5
113	ADCY7
114	ADCY8
115	ADCY9
116	ADCYAP1
117	ADCYAP1R1
118	ADD1
79747	ADGB
124	ADH1A
125	ADH1B
126	ADH1C
127	ADH4
128	ADH5
130	ADH6
131	ADH7
137872	ADHFE1
149685	ADIG
9370	ADIPOQ
133	ADM
23394	ADNP
83440	ADPGK
141	ADPRH
113622	ADPRHL1
148	ADRA1A
146	ADRA1D
152	ADRA2C
155	ADRB3
64782	AEN
60312	AFAP1
4299	AFF1
27125	AFF4
10939	AFG3L2
173	AFM
174	AFP
175	AGA
116988	AGAP3
123624	AGBL1
340351	AGBL3
177	AGER
3268	AGFG2
55750	AGK
392636	AGMO
27161	AGO2
10554	AGPAT1
10555	AGPAT2
56895	AGPAT4
55326	AGPAT5
10551	AGR2
155465	AGR3
181	AGRP
23287	AGTPBP1
64902	AGXT2
191	AHCY
23382	AHCYL2
54806	AHI1
79026	AHNAK
196	AHR
57491	AHRR
197	AHSG
51327	AHSP
199	AIF1
83543	AIF1L
51390	AIG1
9255	AIMP1
7965	AIMP2
9049	AIP
203	AK1
50808	AK3
158067	AK8
221264	AK9
11216	AKAP10
11215	AKAP11
9590	AKAP12
11214	AKAP13
9465	AKAP7
10142	AKAP9
56672	AKIP1
80709	AKNA
231	AKR1B1
57016	AKR1B10
441282	AKR1B15
1645	AKR1C1
1646	AKR1C2
8644	AKR1C3
1109	AKR1C4
6718	AKR1D1
83592	AKR1E2
64400	AKTIP
210	ALAD
211	ALAS1
213	ALB
214	ALCAM
216	ALDH1A1
8854	ALDH1A2
220	ALDH1A3
219	ALDH1B1
10840	ALDH1L1
218	ALDH3A1
224	ALDH3A2
7915	ALDH5A1
501	ALDH7A1
64577	ALDH8A1
226	ALDOA
229	ALDOB
230	ALDOC
56052	ALG1
440138	ALG11
644974	ALG1L2
85365	ALG2
10195	ALG3
79796	ALG9
54784	ALKBH4
54890	ALKBH5
91801	ALKBH8
80216	ALPK1
57538	ALPK3
259173	ALS2CL
23600	AMACR
258	AMBN
259	AMBP
51005	AMDHD2
267	AMFR
386724	AMIGO3
154810	AMOTL1
51421	AMOTL2
272	AMPD3
275	AMT
401138	AMTN
10393	ANAPC10
25847	ANAPC13
29882	ANAPC2
29945	ANAPC4
284	ANGPT1
285	ANGPT2
51378	ANGPT4
23452	ANGPTL2
253935	ANGPTL5
286	ANK1
287	ANK2
348094	ANKDD1A
63926	ANKEF1
56172	ANKH
54882	ANKHD1
54467	ANKIB1
255239	ANKK1
57037	ANKMY2
29123	ANKRD11
23253	ANKRD12
124930	ANKRD13B
338692	ANKRD13D
54522	ANKRD16
26057	ANKRD17
253650	ANKRD18A
441459	ANKRD18B
84210	ANKRD20A1
22852	ANKRD26
84079	ANKRD27
23243	ANKRD28
147463	ANKRD29
374860	ANKRD30B
651746	ANKRD33B
390616	ANKRD34C
353322	ANKRD37
338699	ANKRD42
157567	ANKRD46
54851	ANKRD49
57182	ANKRD50
79722	ANKRD55
140731	ANKRD60
100310846	ANKRD61
342850	ANKRD62
100287718	ANKRD66
56311	ANKRD7
23294	ANKS1A
124401	ANKS3
257629	ANKS4B
203286	ANKS6
389161	ANKUB1
55129	ANO10
8125	ANP32A
10541	ANP32B
290	ANPEP
118429	ANTXR2
301	ANXA1
11199	ANXA10
312	ANXA13
302	ANXA2
389289	ANXA2R
306	ANXA3
308	ANXA5
26	AOC1
55435	AP1AR
164	AP1G1
1174	AP1S1
163	AP2B1
1173	AP2M1
8120	AP3B2
10947	AP3M2
10239	AP3S2
23431	AP4E1
9179	AP4M1
91056	AP5B1
55317	AP5S1
320	APBA1
322	APBB1
323	APBB2
10307	APBB3
147495	APCDD1
164284	APCDD1L
327	APEH
83464	APH1B
8539	API5
51074	APIP
187	APLNR
334	APLP2
57136	APMAP
335	APOA1
337	APOA4
116519	APOA5
10930	APOBEC2
55911	APOBR
345	APOC3
347	APOD
55937	APOM
26060	APPL1
353	APRT
54840	APTX
358	AQP1
360	AQP3
361	AQP4
364	AQP7
343	AQP8
366	AQP9
116984	ARAP2
23237	ARC
372	ARCN1
374	AREG
378	ARF4
381	ARF5
10565	ARFGEF1
10564	ARFGEF2
27236	ARFIP1
23647	ARFIP2
383	ARG1
503582	ARGFX
79658	ARHGAP10
94134	ARHGAP12
55114	ARHGAP17
93663	ARHGAP18
57569	ARHGAP20
57584	ARHGAP21
83478	ARHGAP24
79822	ARHGAP28
57514	ARHGAP31
9743	ARHGAP32
80728	ARHGAP39
343578	ARHGAP40
143872	ARHGAP42
9639	ARHGEF10
23365	ARHGEF12
26084	ARHGEF26
50650	ARHGEF3
445328	ARHGEF35
54848	ARHGEF38
84904	ARHGEF39
7984	ARHGEF5
57492	ARID1B
10620	ARID3B
138715	ARID3C
25820	ARIH1
10425	ARIH2
115761	ARL11
200894	ARL13B
80117	ARL14
120534	ARL14EP
54622	ARL15
402	ARL2
23568	ARL2BP
10124	ARL4A
221079	ARL5B
84100	ARL6
23204	ARL6IP1
10550	ARL6IP5
55207	ARL8B
132946	ARL9
55156	ARMC1
83787	ARMC10
221481	ARMC12
84071	ARMC2
219681	ARMC3
79798	ARMC5
25852	ARMC8
9915	ARNT2
10552	ARPC1A
10095	ARPC1B
10093	ARPC4
81873	ARPC5L
10776	ARPP19
10777	ARPP21
92714	ARRDC1
91947	ARRDC4
79642	ARSJ
419	ART3
427	ASAH1
50807	ASAP1
136371	ASB10
79754	ASB13
142686	ASB14
142685	ASB15
51666	ASB4
140458	ASB5
140459	ASB6
140460	ASB7
56676	ASCL3
25842	ASF1A
9070	ASH2L
40	ASIC2
9311	ASIC3
51802	ASIC5
434	ASIP
440	ASNS
444	ASPH
253982	ASPHD1
54829	ASPN
80150	ASRGL1
445	ASS1
28990	ASTE1
23245	ASTN2
171023	ASXL1
80816	ASXL3
136991	ASZ1
29028	ATAD2
79915	ATAD5
79969	ATAT1
1388	ATF6B
80063	ATF7IP2
23130	ATG2A
64422	ATG3
9474	ATG5
10533	ATG7
285973	ATG9B
25923	ATL3
472	ATM
23300	ATMIN
474	ATOH1
57205	ATP10D
23250	ATP11A
23200	ATP11B
79572	ATP13A3
84239	ATP13A4
344905	ATP13A5
483	ATP1B3
487	ATP2A1
491	ATP2B2
