entrez_id	gene_name
Sample Identifier	NA
53353	LRP1B
8667	EIF3H
497190	CLEC18B
9774	BCLAF1
94025	MUC16
80223	RAB11FIP1
92822	ZNF276
83449	PMFBP1
8495	PPFIBP2
7450	VWF
1804	DPP6
11004	KIF2C
375298	CERKL
1603	DAD1
3600	IL15
8312	AXIN1
54600	UGT1A9
3948	LDHC
22837	COBLL1
3938	LCT
10321	CRISP3
23245	ASTN2
63982	ANO3
23129	PLXND1
79974	CPED1
11122	PTPRT
9150	CTDP1
55567	DNAH3
54502	RBM47
6098	ROS1
57333	RCN3
51085	MLXIPL
54511	HMGCLL1
143662	MUC15
3741	KCNA5
27153	ZNF777
9814	SFI1
57537	SORCS2
93978	CLEC6A
389400	GFRAL
339745	SPOPL
7762	ZNF215
148198	ZNF98
2565	GABRG1
7545	ZIC1
79890	RIN3
5728	PTEN
170487	ACTL10
140467	ZNF358
80324	PUS1
78991	PCYOX1L
10291	SF3A1
7179	TPTE
640	BLK
219429	OR4C11
130075	OR9A4
80176	SPSB1
10067	SCAMP3
10992	SF3B2
26497	OR10D3
924	CD7
65217	PCDH15
283316	CD163L1
64761	PARP12
673	BRAF
2318	FLNC
392617	ELFN1
150572	SMYD1
57511	COG6
132320	SCLT1
23360	FNBP4
3621	ING1
55600	ITLN1
3055	HCK
3646	EIF3E
3295	HSD17B4
57493	HEG1
84219	WDR24
377	ARF3
5579	PRKCB
55561	CDC42BPG
6947	TCN1
282966	C10orf53
55225	RAVER2
5649	RELN
8455	ATRN
23335	WDR7
79623	GALNT14
7013	TERF1
763	CA5A
93661	CAPZA3
4763	NF1
56776	FMN2
9564	BCAR1
2193	FARSA
117194	MRGPRX2
23768	FLRT2
4842	NOS1
27349	MCAT
127602	DNAH14
3775	KCNK1
54778	RNF111
2355	FOSL2
23550	PSD4
28983	TMPRSS11E
89780	WNT3A
55534	MAML3
29904	EEF2K
10902	BRD8
158326	FREM1
134391	GPR151
23363	OBSL1
6547	SLC8A3
53942	CNTN5
5978	REST
129401	NUP35
775	CACNA1C
55184	DZANK1
27124	INPP5J
55679	LIMS2
56963	RGMA
2160	F11
54932	EXD3
388468	POTEC
2119	ETV5
23007	PLCH1
2627	GATA6
360030	NANOGNB
80816	ASXL3
26211	OR2F1
23224	SYNE2
7043	TGFB3
93492	TPTE2
8658	TNKS
9058	SLC13A2
284434	NWD1
51176	LEF1
8200	GDF5
23194	FBXL7
4363	ABCC1
100130958	SYCE1L
55002	TMCO3
8085	KMT2D
85379	KIAA1671
81037	CLPTM1L
1767	DNAH5
56172	ANKH
51105	PHF20L1
6539	SLC6A12
1758	DMP1
240	ALOX5
11024	LILRA1
1060	CENPC
114794	ELFN2
10297	APC2
7015	TERT
2769	GNA15
2645	GCK
9402	GRAP2
1284	COL4A2
667	DST
80774	LIMD2
6340	SCNN1G
64151	NCAPG
7051	TGM1
862	RUNX1T1
346007	EYS
10133	OPTN
55621	TRMT1
26093	CCDC9
56889	TM9SF3
2194	FASN
23236	PLCB1
84539	MCHR2
79927	FAM110D
9632	SEC24C
140803	TRPM6
5069	PAPPA
1901	S1PR1
56100	PCDHGB6
88	ACTN2
79659	DYNC2H1
134218	DNAJC21
64318	NOC3L
231	AKR1B1
3098	HK1
6320	CLEC11A
51143	DYNC1LI1
246213	SLC17A8
170690	ADAMTS16
5340	PLG
29933	GPR132
85021	REPS1
23396	PIP5K1C
266675	BEST4
8911	CACNA1I
120935	CCDC38
8459	TPST2
147138	TMC8
57148	RALGAPB
4054	LTBP3
1012	CDH13
2261	FGFR3
3069	HDLBP
9037	SEMA5A
375743	PTAR1
55351	STK32B
5792	PTPRF
10847	SRCAP
6546	SLC8A1
60682	SMAP1
158358	KIAA2026
23143	LRCH1
5079	PAX5
23126	POGZ
10919	EHMT2
1636	ACE
10351	ABCA8
89870	TRIM15
8639	AOC3
79633	FAT4
55852	TEX2
54901	CDKAL1
9649	RALGPS1
2560	GABRB1
89849	ATG16L2
8632	DNAH17
23648	SSBP3
7143	TNR
166655	TRIM60
63977	PRDM15
22986	SORCS3
90522	YIF1B
639	PRDM1
9498	SLC4A8
170961	ANKRD24
5473	PPBP
5585	PKN1
9562	MINPP1
5858	PZP
26047	CNTNAP2
9132	KCNQ4
169792	GLIS3
10260	DENND4A
23414	ZFPM2
90678	LRSAM1
157680	VPS13B
60528	ELAC2
635	BHMT
1832	DSP
4621	MYH3
1286	COL4A4
6300	MAPK12
162963	ZNF610
9918	NCAPD2
2567	GABRG3
472	ATM
6352	CCL5
160418	TMTC3
64333	ARHGAP9
79594	MUL1
84623	KIRREL3
27340	UTP20
11108	PRDM4
4643	MYO1E
23389	MED13L
23075	SWAP70
9631	NUP155
9480	ONECUT2
25821	MTO1
4753	NELL2
10540	DCTN2
51225	ABI3
9355	LHX2
55144	LRRC8D
11113	CIT
284382	ACTL9
59350	RXFP1
389763	SPATA31D1
22999	RIMS1
85442	KNDC1
6336	SCN10A
6427	SRSF2
1508	CTSB
135946	OR6B1
55601	DDX60
2903	GRIN2A
146456	TMED6
23161	SNX13
6502	SKP2
55114	ARHGAP17
120793	OR56A4
116987	AGAP1
3845	KRAS
57689	LRRC4C
51474	LIMA1
32	ACACB
729747	ZNF878
26190	FBXW2
205564	SENP5
57722	IGDCC4
55777	MBD5
221806	VWDE
85446	ZFHX2
3991	LIPE
131177	FAM3D
8928	FOXH1
5451	POU2F1
147686	ZNF418
54540	FAM193B
7170	TPM3
581	BAX
11187	PKP3
3910	LAMA4
79632	FAM184A
11033	ADAP1
23189	KANK1
51341	ZBTB7A
782	CACNB1
22822	PHLDA1
11137	PWP1
122651	RNASE11
7416	VDAC1
114	ADCY8
7803	PTP4A1
80243	PREX2
259266	ASPM
1302	COL11A2
79027	ZNF655
199713	NLRP7
23373	CRTC1
29926	GMPPA
9497	SLC4A7
5330	PLCB2
2029	ENSA
5364	PLXNB1
146754	DNAH2
5159	PDGFRB
112885	PHF21B
128553	TSHZ2
191	AHCY
654502	IQCJ
170960	ZNF721
1290	COL5A2
10396	ATP8A1
652991	SKOR2
