gene_name	entrez_id
Sample.Identifier	NA
ACAP3_CN	116983
ACTRT2_CN	140625
AGRN_CN	375790
ANKRD65_CN	441869
ATAD3A_CN	55210
ATAD3B_CN	83858
ATAD3C_CN	219293
AURKAIP1_CN	54998
B3GALT6_CN	126792
C1orf159_CN	54991
CALML6_CN	163688
CCNL2_CN	81669
CDK11A_CN	728642
CDK11B_CN	984
DVL1_CN	1855
GABRD_CN	2563
GNB1_CN	2782
HES4_CN	57801
HES5_CN	388585
ISG15_CN	9636
KLHL17_CN	339451
MIB2_CN	142678
MMEL1_CN	79258
MMP23B_CN	8510
MORN1_CN	79906
MRPL20_CN	55052
MXRA8_CN	54587
NADK_CN	65220
NOC2L_CN	26155
OR4F16_CN	81399
OR4F29_CN	729759
OR4F5_CN	79501
PANK4_CN	55229
PEX10_CN	5192
PLCH2_CN	9651
PLEKHN1_CN	84069
PRDM16_CN	63976
PRKCZ_CN	5590
PUSL1_CN	126789
RER1_CN	11079
RNF223_CN	401934
SAMD11_CN	148398
SCNN1D_CN	6339
SDF4_CN	51150
SKI_CN	6497
SLC35E2B_CN	728661
SSU72_CN	29101
TAS1R3_CN	83756
TMEM240_CN	339453
TMEM52_CN	339456
TMEM88B_CN	643965
TNFRSF14_CN	8764
TNFRSF18_CN	8784
TNFRSF4_CN	7293
TTC34_CN	100287898
TTLL10_CN	254173
UBE2J2_CN	118424
VWA1_CN	64856
ARHGEF16_CN	27237
MEGF6_CN	1953
TPRG1L_CN	127262
WRAP73_CN	49856
TP73_CN	7161
CCDC27_CN	148870
SMIM1_CN	388588
LRRC47_CN	57470
CEP104_CN	9731
DFFB_CN	1677
C1orf174_CN	339448
AJAP1_CN	55966
NPHP4_CN	261734
KCNAB2_CN	8514
CHD5_CN	26038
RPL22_CN	6146
RNF207_CN	388591
ICMT_CN	23463
GPR153_CN	387509
HES3_CN	390992
ACOT7_CN	11332
HES2_CN	54626
ESPN_CN	83715
PLEKHG5_CN	57449
TNFRSF25_CN	8718
NOL9_CN	79707
TAS1R1_CN	80835
ZBTB48_CN	3104
KLHL21_CN	9903
PHF13_CN	148479
THAP3_CN	90326
DNAJC11_CN	55735
CAMTA1_CN	23261
VAMP3_CN	9341
PER3_CN	8863
UTS2_CN	10911
TNFRSF9_CN	3604
PARK7_CN	11315
ERRFI1_CN	54206
SLC45A1_CN	50651
RERE_CN	473
ENO1_CN	2023
CA6_CN	765
SLC2A7_CN	155184
SLC2A5_CN	6518
GPR157_CN	80045
H6PD_CN	9563
SPSB1_CN	80176
SLC25A33_CN	84275
TMEM201_CN	199953
PIK3CD_CN	5293
CLSTN1_CN	22883
CTNNBIP1_CN	56998
LZIC_CN	84328
NMNAT1_CN	64802
RBP7_CN	116362
UBE4B_CN	10277
KIF1B_CN	23095
PGD_CN	5226
CORT_CN	1325
DFFA_CN	1676
PEX14_CN	5195
CASZ1_CN	54897
C1orf127_CN	148345
TARDBP_CN	23435
MASP2_CN	10747
SRM_CN	6723
EXOSC10_CN	5394
MTOR_CN	2475
ANGPTL7_CN	10218
UBIAD1_CN	29914
FBXO2_CN	26232
FBXO44_CN	93611
FBXO6_CN	26270
MAD2L2_CN	10459
DRAXIN_CN	374946
AGTRAP_CN	57085
C1orf167_CN	284498
MTHFR_CN	4524
CLCN6_CN	1185
NPPA_CN	4878
NPPB_CN	4879
KIAA2013_CN	90231
PLOD1_CN	5351
MFN2_CN	9927
MIIP_CN	60672
TNFRSF8_CN	943
TNFRSF1B_CN	7133
VPS13D_CN	55187
DHRS3_CN	9249
AADACL4_CN	343066
AADACL3_CN	126767
HNRNPCL1_CN	343069
PRAMEF10_CN	343071
PRAMEF11_CN	440560
PRAMEF12_CN	390999
PRAMEF13_CN	400736
PRAMEF14_CN	729528
PRAMEF15_CN	653619
PRAMEF17_CN	391004
PRAMEF18_CN	391003
PRAMEF19_CN	645414
PRAMEF1_CN	65121
PRAMEF22_CN	653606
PRAMEF2_CN	65122
PRAMEF4_CN	400735
PRAMEF5_CN	343068
PRAMEF6_CN	440561
PRAMEF7_CN	441871
PRAMEF8_CN	391002
PRAMEF9_CN	343070
LRRC38_CN	126755
PRAMEF20_CN	645425
PDPN_CN	10630
PRDM2_CN	7799
KAZN_CN	23254
TMEM51_CN	55092
FHAD1_CN	114827
EFHD2_CN	79180
CTRC_CN	11330
CELA2A_CN	63036
CELA2B_CN	51032
CASP9_CN	842
DNAJC16_CN	23341
AGMAT_CN	79814
DDI2_CN	84301
RSC1A1_CN	6248
PLEKHM2_CN	23207
FBLIM1_CN	54751
SLC25A34_CN	284723
TMEM82_CN	388595
SPEN_CN	23013
ZBTB17_CN	7709
HSPB7_CN	27129
CLCNKA_CN	1187
CLCNKB_CN	1188
EPHA2_CN	1969
FAM131C_CN	348487
ARHGEF19_CN	128272
FBXO42_CN	54455
SZRD1_CN	26099
SPATA21_CN	374955
NECAP2_CN	55707
ATP13A2_CN	23400
CROCC_CN	9696
MFAP2_CN	4237
NBPF1_CN	55672
SDHB_CN	6390
PADI2_CN	11240
PADI1_CN	29943
PADI3_CN	51702
PADI4_CN	23569
PADI6_CN	353238
RCC2_CN	55920
ARHGEF10L_CN	55160
ACTL8_CN	81569
IGSF21_CN	84966
KLHDC7A_CN	127707
PAX7_CN	5081
TAS1R2_CN	80834
ALDH4A1_CN	8659
IFFO2_CN	126917
UBR4_CN	23352
EMC1_CN	23065
MRTO4_CN	51154
AKR7A3_CN	22977
AKR7L_CN	246181
AKR7A2_CN	8574
CAPZB_CN	832
NBL1_CN	4681
HTR6_CN	3362
TMCO4_CN	255104
RNF186_CN	54546
OTUD3_CN	23252
PLA2G2E_CN	30814
PLA2G2A_CN	5320
PLA2G5_CN	5322
PLA2G2D_CN	26279
PLA2G2F_CN	64600
PLA2G2C_CN	391013
UBXN10_CN	127733
CAMK2N1_CN	55450
VWA5B1_CN	127731
MUL1_CN	79594
FAM43B_CN	163933
CDA_CN	978
PINK1_CN	65018
DDOST_CN	1650
KIF17_CN	57576
SH2D5_CN	400745
HP1BP3_CN	50809
EIF4G3_CN	8672
ECE1_CN	1889
NBPF3_CN	84224
ALPL_CN	249
RAP1GAP_CN	5909
USP48_CN	84196
LDLRAD2_CN	401944
HSPG2_CN	3339
CDC42_CN	998
CELA3A_CN	10136
CELA3B_CN	23436
WNT4_CN	54361
ZBTB40_CN	9923
EPHA8_CN	2046
C1QA_CN	712
C1QC_CN	714
C1QB_CN	713
EPHB2_CN	2048
LACTBL1_CN	646262
KDM1A_CN	23028
LUZP1_CN	7798
HTR1D_CN	3352
HNRNPR_CN	10236
ZNF436_CN	80818
TCEA3_CN	6920
ASAP3_CN	55616
E2F2_CN	1870
ID3_CN	3399
RPL11_CN	6135
PITHD1_CN	57095
GALE_CN	2582
LYPLA2_CN	11313
HMGCL_CN	3155
FUCA1_CN	2517
CNR2_CN	1269
MYOM3_CN	127294
PNRC2_CN	55629
SRSF10_CN	10772
IL22RA1_CN	58985
IFNLR1_CN	163702
GRHL3_CN	57822
STPG1_CN	90529
NIPAL3_CN	57185
RCAN3_CN	11123
NCMAP_CN	400746
SRRM1_CN	10250
CLIC4_CN	25932
RUNX3_CN	864
RHCE_CN	6006
RHD_CN	6007
SYF2_CN	25949
TMEM50A_CN	23585
LDLRAP1_CN	26119
MAN1C1_CN	57134
MTFR1L_CN	56181
AUNIP_CN	79000
PAQR7_CN	164091
STMN1_CN	3925
PAFAH2_CN	5051
EXTL1_CN	2134
SLC30A2_CN	7780
TRIM63_CN	84676
PDIK1L_CN	149420
FAM110D_CN	79927
ZNF593_CN	51042
CNKSR1_CN	10256
CATSPER4_CN	378807
CEP85_CN	64793
SH3BGRL3_CN	83442
UBXN11_CN	91544
CD52_CN	1043
ZNF683_CN	257101
LIN28A_CN	79727
DHDDS_CN	79947
HMGN2_CN	3151
RPS6KA1_CN	6195
ARID1A_CN	8289
PIGV_CN	55650
ZDHHC18_CN	84243
SFN_CN	2810
GPN2_CN	54707
GPATCH3_CN	63906
NUDC_CN	10726
NR0B2_CN	8431
TRNP1_CN	388610
SLC9A1_CN	6548
WDTC1_CN	23038
TMEM222_CN	84065
SYTL1_CN	84958
MAP3K6_CN	9064
FCN3_CN	8547
CD164L2_CN	388611
GPR3_CN	2827
WASF2_CN	10163
AHDC1_CN	27245
FGR_CN	2268
IFI6_CN	2537
FAM76A_CN	199870
STX12_CN	23673
PPP1R8_CN	5511
THEMIS2_CN	9473
RPA2_CN	6118
SMPDL3B_CN	27293
XKR8_CN	55113
EYA3_CN	2140
PTAFR_CN	5724
DNAJC8_CN	22826
SESN2_CN	83667
MED18_CN	54797
PHACTR4_CN	65979
RCC1_CN	1104
TRNAU1AP_CN	54952
RAB42_CN	115273
TAF12_CN	6883
GMEB1_CN	10691
YTHDF2_CN	51441
OPRD1_CN	4985
EPB41_CN	2035
TMEM200B_CN	399474
SRSF4_CN	6429
MECR_CN	51102
PTPRU_CN	10076
LAPTM5_CN	7805
MATN1_CN	4146
SDC3_CN	9672
PUM1_CN	9698
NKAIN1_CN	79570
SNRNP40_CN	9410
ZCCHC17_CN	51538
FABP3_CN	2170
SERINC2_CN	347735
TINAGL1_CN	64129
HCRTR1_CN	3061
PEF1_CN	553115
COL16A1_CN	1307
SPOCD1_CN	90853
PTP4A2_CN	8073
KHDRBS1_CN	10657
TMEM39B_CN	55116
KPNA6_CN	23633
TXLNA_CN	200081
CCDC28B_CN	79140
IQCC_CN	55721
DCDC2B_CN	149069
TMEM234_CN	56063
EIF3I_CN	8668
FAM167B_CN	84734
LCK_CN	3932
HDAC1_CN	3065
MARCKSL1_CN	65108
TSSK3_CN	81629
BSDC1_CN	55108
FAM229A_CN	100128071
ZBTB8B_CN	728116
ZBTB8A_CN	653121
ZBTB8OS_CN	339487
RBBP4_CN	5928
SYNC_CN	81493
KIAA1522_CN	NA
S100PBP_CN	64766
FNDC5_CN	252995
HPCA_CN	3208
TMEM54_CN	113452
RNF19B_CN	127544
AK2_CN	204
TRIM62_CN	55223
ZNF362_CN	149076
A3GALT2_CN	127550
PHC2_CN	1912
ZSCAN20_CN	7579
CSMD2_CN	114784
HMGB4_CN	127540
C1orf94_CN	84970
SMIM12_CN	113444
GJB4_CN	127534
GJB5_CN	2709
GJB3_CN	2707
GJA4_CN	2701
DLGAP3_CN	58512
ZMYM6_CN	9204
ZMYM1_CN	79830
SFPQ_CN	6421
ZMYM4_CN	9202
KIAA0319L_CN	79932
NCDN_CN	23154
TFAP2E_CN	339488
PSMB2_CN	5690
C1orf216_CN	127703
CLSPN_CN	63967
AGO4_CN	192670
AGO1_CN	26523
AGO3_CN	192669
TEKT2_CN	27285
COL8A2_CN	1296
TRAPPC3_CN	27095
MAP7D1_CN	55700
THRAP3_CN	9967
SH3D21_CN	79729
EVA1B_CN	55194
STK40_CN	83931
LSM10_CN	84967
OSCP1_CN	127700
MRPS15_CN	64960
CSF3R_CN	1441
GRIK3_CN	2899
ZC3H12A_CN	80149
MEAF6_CN	64769
SNIP1_CN	79753
DNALI1_CN	7802
GNL2_CN	29889
RSPO1_CN	284654
CDCA8_CN	55143
EPHA10_CN	284656
MANEAL_CN	149175
C1orf122_CN	127687
YRDC_CN	79693
MTF1_CN	4520
INPP5B_CN	3633
SF3A3_CN	10946
FHL3_CN	2275
POU3F1_CN	5453
RRAGC_CN	64121
GJA9_CN	81025
MYCBP_CN	26292
RHBDL2_CN	54933
AKIRIN1_CN	79647
NDUFS5_CN	4725
MACF1_CN	23499
BMP8A_CN	353500
PABPC4_CN	8761
HEYL_CN	26508
HPCAL4_CN	51440
NT5C1A_CN	84618
PPIE_CN	10450
BMP8B_CN	656
OXCT2_CN	64064
TRIT1_CN	54802
MYCL_CN	4610
MFSD2A_CN	84879
CAP1_CN	10487
PPT1_CN	5538
RLF_CN	6018
TMCO2_CN	127391
ZMPSTE24_CN	10269
COL9A2_CN	1298
SMAP2_CN	64744
ZFP69B_CN	65243
ZFP69_CN	339559
EXO5_CN	64789
ZNF684_CN	127396
RIMS3_CN	9783
NFYC_CN	4802
KCNQ4_CN	9132
CITED4_CN	163732
CTPS1_CN	1503
SLFNL1_CN	200172
SCMH1_CN	22955
FOXO6_CN	100132074
EDN2_CN	1907
HIVEP3_CN	59269
GUCA2B_CN	2981
GUCA2A_CN	2980
FOXJ3_CN	22887
RIMKLA_CN	284716
ZMYND12_CN	84217
PPCS_CN	79717
CCDC30_CN	728621
PPIH_CN	10465
YBX1_CN	4904
CLDN19_CN	149461
C1orf50_CN	79078
ERMAP_CN	114625
ZNF691_CN	51058
SLC2A1_CN	6513
EBNA1BP2_CN	10969
TMEM125_CN	128218
C1orf210_CN	149466
TIE1_CN	7075
MPL_CN	4352
CDC20_CN	991
ELOVL1_CN	64834
MED8_CN	112950
SZT2_CN	23334
HYI_CN	81888
PTPRF_CN	5792
KDM4A_CN	9682
ST3GAL3_CN	6487
ARTN_CN	9048
IPO13_CN	9670
ATP6V0B_CN	533
DPH2_CN	1802
B4GALT2_CN	8704
CCDC24_CN	149473
SLC6A9_CN	6536
KLF17_CN	128209
DMAP1_CN	55929
ERI3_CN	79033
RNF220_CN	55182
TMEM53_CN	79639
KIF2C_CN	11004
BEST4_CN	266675
BTBD19_CN	149478
PLK3_CN	1263
PTCH2_CN	8643
RPS8_CN	6202
EIF2B3_CN	8891
HECTD3_CN	79654
UROD_CN	7389
ZSWIM5_CN	57643
HPDL_CN	84842
MUTYH_CN	4595
TESK2_CN	10420
TOE1_CN	114034
MMACHC_CN	25974
PRDX1_CN	5052
AKR1A1_CN	10327
NASP_CN	4678
CCDC17_CN	149483
GPBP1L1_CN	60313
TMEM69_CN	51249
IPP_CN	3652
MAST2_CN	23139
PIK3R3_CN	8503
TSPAN1_CN	10103
POMGNT1_CN	55624
LURAP1_CN	541468
RAD54L_CN	8438
LRRC41_CN	10489
UQCRH_CN	7388
NSUN4_CN	387338
FAAH_CN	2166
DMBX1_CN	127343
KNCN_CN	148930
MKNK1_CN	8569
MOB3C_CN	148932
ATPAF1_CN	64756
EFCAB14_CN	9813
TEX38_CN	374973
CYP4B1_CN	1580
CYP4A11_CN	1579
CYP4X1_CN	260293
CYP4Z1_CN	199974
CYP4A22_CN	284541
PDZK1IP1_CN	10158
TAL1_CN	6886
STIL_CN	6491
CMPK1_CN	51727
FOXE3_CN	2301
FOXD2_CN	2306
TRABD2B_CN	388630
SLC5A9_CN	200010
SPATA6_CN	54558
AGBL4_CN	84871
BEND5_CN	79656
ELAVL4_CN	1996
DMRTA2_CN	63950
FAF1_CN	11124
CDKN2C_CN	1031
C1orf185_CN	284546
RNF11_CN	26994
TTC39A_CN	22996
EPS15_CN	2060
OSBPL9_CN	114883
RAB3B_CN	5865
TXNDC12_CN	51060
KTI12_CN	112970
BTF3L4_CN	91408
ZFYVE9_CN	9372
CC2D1B_CN	200014
ORC1_CN	4998
PRPF38A_CN	84950
GPX7_CN	2882
ZYG11B_CN	79699
ZYG11A_CN	440590
ECHDC2_CN	55268
SCP2_CN	6342
PODN_CN	127435
SLC1A7_CN	6512
CPT2_CN	1376
MAGOH_CN	4116
LRP8_CN	7804
DMRTB1_CN	63948
GLIS1_CN	148979
NDC1_CN	55706
YIPF1_CN	54432
DIO1_CN	1733
LRRC42_CN	115353
LDLRAD1_CN	388633
TMEM59_CN	9528
TCEANC2_CN	127428
CDCP2_CN	200008
CYB5RL_CN	606495
MRPL37_CN	51253
SSBP3_CN	23648
ACOT11_CN	26027
FAM151A_CN	338094
MROH7_CN	374977
TTC4_CN	7268
PARS2_CN	25973
TTC22_CN	55001
DHCR24_CN	1718
TMEM61_CN	199964
BSND_CN	7809
PCSK9_CN	255738
USP24_CN	23358
PRKAA2_CN	5563
C8A_CN	731
C8B_CN	732
DAB1_CN	1600
OMA1_CN	115209
TACSTD2_CN	4070
MYSM1_CN	114803
JUN_CN	3725
FGGY_CN	55277
HOOK1_CN	51361
CYP2J2_CN	1573
C1orf87_CN	127795
NFIA_CN	4774
TM2D1_CN	83941
L1TD1_CN	54596
KANK4_CN	163782
USP1_CN	7398
DOCK7_CN	85440
ANGPTL3_CN	27329
ATG4C_CN	84938
FOXD3_CN	27022
ALG6_CN	29929
ITGB3BP_CN	23421
EFCAB7_CN	84455
PGM1_CN	5236
ROR1_CN	4919
UBE2U_CN	148581
CACHD1_CN	57685
RAVER2_CN	55225
JAK1_CN	3716
AK4_CN	205
DNAJC6_CN	9829
LEPROT_CN	54741
LEPR_CN	3953
PDE4B_CN	5142
SGIP1_CN	84251
INSL5_CN	10022
MIER1_CN	57708
SLC35D1_CN	23169
C1orf141_CN	400757
IL23R_CN	149233
IL12RB2_CN	3595
SERBP1_CN	26135
GADD45A_CN	1647
GNG12_CN	55970
DIRAS3_CN	9077
WLS_CN	79971
RPE65_CN	6121
DEPDC1_CN	55635
LRRC7_CN	57554
LRRC40_CN	55631
SRSF11_CN	9295
ANKRD13C_CN	81573
CTH_CN	1491
PTGER3_CN	5733
ZRANB2_CN	9406
NEGR1_CN	257194
LRRIQ3_CN	127255
FPGT_CN	8790
TNNI3K_CN	51086
LRRC53_CN	105378803
CRYZ_CN	1429
TYW3_CN	127253
LHX8_CN	431707
SLC44A5_CN	204962
ACADM_CN	34
RABGGTB_CN	5876
MSH4_CN	4438
ASB17_CN	127247
ST6GALNAC3_CN	256435
ST6GALNAC5_CN	81849
PIGK_CN	10026
AK5_CN	26289
ZZZ3_CN	26009
USP33_CN	23032
NEXN_CN	91624
FUBP1_CN	8880
DNAJB4_CN	11080
GIPC2_CN	54810
PTGFR_CN	5737
IFI44L_CN	10964
IFI44_CN	10561
TTLL7_CN	79739
PRKACB_CN	5567
SAMD13_CN	148418
DNASE2B_CN	58511
RPF1_CN	80135
GNG5_CN	2787
SPATA1_CN	100505741
CTBS_CN	1486
SSX2IP_CN	117178
LPAR3_CN	23566
MCOLN2_CN	255231
MCOLN3_CN	55283
SYDE2_CN	84144
C1orf52_CN	148423
BCL10_CN	8915
DDAH1_CN	23576
ZNHIT6_CN	54680
COL24A1_CN	255631
ODF2L_CN	57489
CLCA2_CN	9635
CLCA1_CN	1179
CLCA4_CN	22802
SH3GLB1_CN	51100
HS2ST1_CN	9653
LMO4_CN	8543
PKN2_CN	5586
GTF2B_CN	2959
RBMXL1_CN	494115
GBP3_CN	2635
GBP1_CN	2633
GBP2_CN	2634
GBP7_CN	388646
GBP4_CN	115361
GBP5_CN	115362
GBP6_CN	163351
LRRC8B_CN	23507
LRRC8C_CN	84230
LRRC8D_CN	55144
ZNF326_CN	284695
BARHL2_CN	343472
ZNF644_CN	84146
HFM1_CN	164045
CDC7_CN	8317
TGFBR3_CN	7049
BRDT_CN	676
EPHX4_CN	253152
