gene_name	entrez_id
Sample.Identifier	NA
FAM151A	338094
COG6	57511
ZDHHC22	283576
ANP32A	8125
GSDMA	284110
FBP2	8789
CCDC88C	440193
SFI1	9814
GPR4	2828
UPP2	151531
ARFGAP2	84364
NBEAL2	23218
KITLG	4254
PCSK2	5126
TRUB1	142940
MOAP1	64112
WNT16	51384
MFF	56947
FMNL1	752
OR2M3	127062
JCHAIN	3512
CES3	23491
SH2D5	400745
EFNB3	1949
SLC2A10	81031
RBM23	55147
S100A3	6274
WASF2	10163
VRTN	55237
CUL4A	8451
EVL	51466
AIG1	51390
CACTIN	58509
OR8D2	283160
ACTRT3	84517
C1orf50	79078
LDHAL6B	92483
PAPOLA	10914
RPA4	29935
CRYAA	1409
MEIS2	4212
HSP90AA1	3320
CRYGN	155051
MED15	51586
NISCH	11188
TXK	7294
INHBE	83729
HDAC8	55869
MMP23B	8510
TM7SF3	51768
ADGRL3	23284
ATG7	10533
FAM104A	NA
CTIF	9811
TRIM28	10155
TSPAN8	7103
VPS37B	79720
RPUSD2	27079
RDH10	157506
TP53BP1	7158
ARPC5	10092
MYOD1	4654
CACNB4	785
C4orf33	132321
BTBD8	284697
TNFSF8	944
ATOH7	220202
HCN3	57657
ARHGAP26	23092
ZNF630	57232
SLC3A1	6519
RAB11FIP3	9727
FGL2	10875
C4orf36	132989
ZNF672	79894
CARNMT1	138199
DBI	1622
RPS14	6208
OR51F1	256892
KLK4	9622
METAP1D	254042
SHBG	6462
PITX2	5308
CCDC175	729665
CENPVL3	347549
CISD3	284106
ANKMY2	57037
IL5RA	3568
SNTB1	6641
TJP3	27134
ARL17A	51326
GPR42	2866
VWDE	221806
NIN	51199
DMRTA1	63951
KLRG1	10219
CDIP1	29965
ALKBH7	84266
KLF8	11279
C9orf72	203228
CLEC1A	51267
ZNF12	7559
MTX1	4580
GAL3ST1	9514
TSNAXIP1	55815
OR52H1	390067
PBX2	5089
OR2T10	127069
VGLL2	245806
LRRC8A	56262
CA4	762
ARL13A	392509
SLC22A13	9390
RPP14	11102
MRGPRX2	117194
OR10Q1	219960
CDCA4	55038
MIGA2	84895
HBZ	3050
LLGL1	3996
ASXL2	55252
SRGAP2	23380
JMJD4	65094
OR5B3	441608
SMC1B	27127
COX7B2	170712
GFRAL	389400
NLRP11	204801
FBLIM1	54751
KIAA1522	NA
IL6ST	3572
NDUFAB1	4706
ADCY3	109
IQUB	154865
PLAC1	10761
INPP5E	56623
PDCD1	5133
PDP1	54704
CNTN1	1272
VCY	9084
